variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
HR-4_v000,HR-4,Human-Style Antipatterns,medium,5.04,5.04,True
HR-4_v001,HR-4,Human-Style Antipatterns,medium,7.73,7.73,True
HR-4_v002,HR-4,Human-Style Antipatterns,medium,7.66,7.66,True
HR-4_v003,HR-4,Human-Style Antipatterns,medium,5.14,5.14,True
HR-4_v004,HR-4,Human-Style Antipatterns,medium,4.87,4.87,True
HR-4_v006,HR-4,Human-Style Antipatterns,medium,5.14,5.14,True
HR-4_v005,HR-4,Human-Style Antipatterns,medium,7.75,7.75,True
HR-4_v007,HR-4,Human-Style Antipatterns,medium,7.39,7.39,True
HR-4_v008,HR-4,Human-Style Antipatterns,medium,7.36,7.36,True
HR-4_v009,HR-4,Human-Style Antipatterns,medium,7.78,7.78,True
HR-4_v010,HR-4,Human-Style Antipatterns,medium,5.04,5.04,True
HR-4_v011,HR-4,Human-Style Antipatterns,medium,4.52,4.52,True
HR-4_v012,HR-4,Human-Style Antipatterns,medium,6.75,6.75,True
HR-4_v013,HR-4,Human-Style Antipatterns,medium,7.08,7.08,True
HR-4_v014,HR-4,Human-Style Antipatterns,medium,7.06,7.06,True
HR-4_v015,HR-4,Human-Style Antipatterns,medium,4.87,4.87,True
HR-4_v016,HR-4,Human-Style Antipatterns,medium,7.3,7.3,True
HR-4_v018,HR-4,Human-Style Antipatterns,medium,7.62,7.62,True
HR-4_v017,HR-4,Human-Style Antipatterns,medium,5.2,5.2,True
IS-1_v000,IS-1,Input-Sensitive Inefficiency,medium,1.59,1.59,False
HR-4_v019,HR-4,Human-Style Antipatterns,medium,5.01,5.01,True
IS-1_v001,IS-1,Input-Sensitive Inefficiency,hard,103.78,103.78,True
IS-1_v002,IS-1,Input-Sensitive Inefficiency,medium,24.26,24.26,True
IS-1_v003,IS-1,Input-Sensitive Inefficiency,hard,89.03,89.03,True
IS-1_v004,IS-1,Input-Sensitive Inefficiency,hard,18.68,18.68,True
IS-1_v005,IS-1,Input-Sensitive Inefficiency,hard,7.27,7.27,True
IS-1_v006,IS-1,Input-Sensitive Inefficiency,medium,1.69,1.69,False
IS-1_v007,IS-1,Input-Sensitive Inefficiency,medium,1.53,1.53,False
IS-1_v008,IS-1,Input-Sensitive Inefficiency,medium,5.19,5.19,True
IS-1_v009,IS-1,Input-Sensitive Inefficiency,medium,1.54,1.54,False
IS-1_v010,IS-1,Input-Sensitive Inefficiency,medium,5.39,5.39,True
IS-1_v011,IS-1,Input-Sensitive Inefficiency,medium,5.36,5.36,True
IS-1_v012,IS-1,Input-Sensitive Inefficiency,hard,7.4,7.4,True
IS-1_v013,IS-1,Input-Sensitive Inefficiency,medium,1.62,1.62,False
IS-1_v014,IS-1,Input-Sensitive Inefficiency,medium,42.26,42.26,True
IS-1_v015,IS-1,Input-Sensitive Inefficiency,hard,7.41,7.41,True
IS-1_v016,IS-1,Input-Sensitive Inefficiency,hard,81.86,81.86,True
IS-1_v017,IS-1,Input-Sensitive Inefficiency,medium,1.44,1.44,False
IS-1_v018,IS-1,Input-Sensitive Inefficiency,medium,45.3,45.3,True
IS-1_v019,IS-1,Input-Sensitive Inefficiency,medium,5.38,5.38,True
IS-2_v000,IS-2,Input-Sensitive Inefficiency,medium,1.24,1.24,False
IS-2_v001,IS-2,Input-Sensitive Inefficiency,medium,1.78,1.78,False
IS-2_v002,IS-2,Input-Sensitive Inefficiency,medium,3.95,3.95,True
