variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
CF-4_v009,CF-4,Control Flow,hard,False,7.7738,9.4542,0.82,False,3.5486,1.3528,2.62,True,2.754,1.0488,2.63,True,3.4442,1.28,2.69,True,3.1078,1.2622,2.46,True
CF-4_v010,CF-4,Control Flow,hard,False,7.2138,5.1002,1.41,False,3.0,0.679,4.42,True,2.9926,0.5468,5.47,True,3.722,0.854,4.36,True,2.9492,0.6448,4.57,True
CF-4_v011,CF-4,Control Flow,hard,False,8.5576,8.3638,1.02,False,2.9196,1.1244,2.6,True,3.1854,1.3108,2.43,True,2.9684,1.216,2.44,True,2.944,1.2412,2.37,True
CF-4_v012,CF-4,Control Flow,hard,False,17.5508,13.4254,1.31,False,8.2732,2.4598,3.36,True,6.6036,2.4624,2.68,True,6.9692,2.5544,2.73,True,6.3492,2.4494,2.59,True
CF-4_v013,CF-4,Control Flow,hard,False,2.8154,1.6496,1.71,False,1.7844,0.3452,5.17,True,1.1986,0.2496,4.8,True,1.0606,0.217,4.89,True,1.125,0.2222,5.06,True
CF-4_v014,CF-4,Control Flow,hard,False,9.7544,5.8626,1.66,False,5.1784,1.3448,3.85,True,3.246,1.2364,2.63,True,3.404,1.5032,2.26,True,2.9466,1.2978,2.27,True
COMP_v000,COMP,Composed,hard,False,667.128,6.657,100.21,True,582.83,1.801,323.61,True,605.11,1.426,424.34,True,573.366,1.502,381.74,True,594.692,1.527,389.45,True
COMP_v001,COMP,Composed,hard,False,12.709,1.419,8.96,True,16.16,0.253,63.87,True,15.509,0.22,70.5,True,15.298,0.235,65.1,True,14.678,0.208,70.57,True
COMP_v002,COMP,Composed,hard,False,24.28,8.6,2.82,True,16.2,1.811,8.95,True,13.915,1.719,8.09,True,12.6,1.582,7.96,True,12.827,1.642,7.81,True
COMP_v003,COMP,Composed,hard,False,17.172,1.744,9.85,True,17.572,1.246,14.1,True,17.684,1.255,14.09,True,17.943,0.413,43.45,True,17.049,1.164,14.65,True
COMP_v004,COMP,Composed,hard,False,50.615,0.751,67.4,True,42.001,0.074,567.58,True,44.239,0.056,789.98,True,40.725,0.051,798.53,True,41.858,0.06,697.63,True
COMP_v005,COMP,Composed,hard,False,2.032,0.048,42.33,True,0.86,0.006,143.33,True,0.967,0.007,138.14,True,0.812,0.006,135.33,True,0.794,0.005,158.8,True
COMP_v006,COMP,Composed,hard,False,13.038,8.428,1.55,False,8.736,0.631,13.84,True,6.255,0.653,9.58,True,6.06,0.891,6.8,True,6.078,0.586,10.37,True
COMP_v007,COMP,Composed,hard,False,80.863,2.114,38.25,True,75.302,0.583,129.16,True,71.573,0.842,85.0,True,70.122,0.157,446.64,True,69.949,0.641,109.12,True
COMP_v008,COMP,Composed,hard,False,13.796,9.816,1.41,False,8.155,0.602,13.55,True,6.024,0.752,8.01,True,6.378,0.605,10.54,True,6.503,0.605,10.75,True
